Collection,Rarity,Item,ID
Anubis,Covert,M4A4_Eye_of_Horus,1570
Anubis,Classified,FAMAS_Waters_of_Nephthys,1568
Anubis,Classified,P250_Apeps_Curse,1569
Anubis,Restricted,Glock-18_Rameses_Reach,1565
Anubis,Restricted,Nova_Sobek's_Bite,1566
Anubis,Restricted,P90_ScaraB_Rush,1567
Anubis,Mil-Spec,AK-47_Steel_Delta,1561
Anubis,Mil-Spec,AWP_Black_Nile,1562
Anubis,Mil-Spec,MAG-7_Copper_Coated,1564
Anubis,Mil-Spec,Tec-9_Mummys_Rot,1563
Anubis,Industrial,M4A1-S_Mud_Spec,1557
Anubis,Industrial,MAC-10_Echoing_Sands,1559
Anubis,Industrial,SSG_08_Azure_Glyph,1558
Anubis,Industrial,USP-S_Desert_Tactical,1560
Anubis,Consumer,AUG_Snake_Pit,1556
Anubis,Consumer,M249_Submerged,1553
Anubis,Consumer,MP7_Sunbaked,1555
Anubis,Consumer,R8_Revolver_Inlay,1552
Anubis,Consumer,XM1014_Hieroglyph,1554
Clutch,Covert,M4A4_Neo_Noir,929
Clutch,Covert,MP7_Bloodsport,930
Clutch,Classified,AUG_Stymphalian,926
Clutch,Classified,AWP_Mortis,927
Clutch,Classified,USP-S_Cortex,928
Clutch,Restricted,Glock-18_Moonrise,921
Clutch,Restricted,MAG-7_SWAG_7,924
Clutch,Restricted,Negev_Lionfish,922
Clutch,Restricted,Nova_Wild_Six,923
Clutch,Restricted,UMP-45_Arctic_Wolf,925
Clutch,Mil-Spec,Five-SeveN_Flame_Test,915
Clutch,Mil-Spec,MP9_Black_Sand,916
Clutch,Mil-Spec,P2000_Urban_Hazard,917
Clutch,Mil-Spec,PP-Bizon_Night_Riot,914
Clutch,Mil-Spec,R8_Revolver_Grip,918
Clutch,Mil-Spec,SG_553_Aloha,919
Clutch,Mil-Spec,XM1014_Oxide_Blaze,920
Dreams_&_Nightmares,Covert,AK-47-Nightwish,1515
Dreams_&_Nightmares,Covert,MP9-Starlight-Protector,1516
Dreams_&_Nightmares,Classified,Dual-Berettas-Melondrama,1512
Dreams_&_Nightmares,Classified,FAMAS-Rapid-Eye-Movement,1513
Dreams_&_Nightmares,Classified,MP7-Abyssal-Apparition,1514
Dreams_&_Nightmares,Restricted,G3SG1-Dream-Glade,1508
Dreams_&_Nightmares,Restricted,M4A1-S-Night-Terror,1509
Dreams_&_Nightmares,Restricted,PP-Bizon-Space-Cat,1507
Dreams_&_Nightmares,Restricted,USP-S-Ticket-to-Hell,1511
Dreams_&_Nightmares,Restricted,XM1014-Zombie-Offensive,1510
Dreams_&_Nightmares,Mil-Spec,Five-SeveN-Scrawl,1500
Dreams_&_Nightmares,Mil-Spec,MAC-10-Ensnared,1501
Dreams_&_Nightmares,Mil-Spec,MAG-7-Foresight,1502
Dreams_&_Nightmares,Mil-Spec,MP5-SD-Necro-Jr,1503
Dreams_&_Nightmares,Mil-Spec,P2000-Lifted-Spirits,1504
Dreams_&_Nightmares,Mil-Spec,Sawed-Off-Spirit-Board,1506
Dreams_&_Nightmares,Mil-Spec,SCAR-20-Poultrygeist,1505
Fracture,Covert,AK-47-Legion-of-Anubis,1285
Fracture,Covert,Desert-Eagle-Printstream,1284
Fracture,Classified,Glock-18-Vogue,1282
Fracture,Classified,M4A4-Tooth-Fairy,1281
Fracture,Classified,XM1014-Entombed,1283
Fracture,Restricted,Galil-AR-Connexion,1279
Fracture,Restricted,MAC-10-Allure,1278
Fracture,Restricted,MAG-7-Monster-Call,1276
Fracture,Restricted,MP5-SD-Kitbash,1280
Fracture,Restricted,Tec-9-Brother,1277
Fracture,Mil-Spec,Negev-Ultralight,1269
Fracture,Mil-Spec,P2000-Gnarled,1270
Fracture,Mil-Spec,P250-Cassette,1273
Fracture,Mil-Spec,P90-Freight,1274
Fracture,Mil-Spec,PP-Bizon-Runic,1275
Fracture,Mil-Spec,SG-553-Ol-Rusty,1271
Fracture,Mil-Spec,SSG-08-Mainframe-001,1272
Italy,Restricted,AWP_Pit_Viper,158
Italy,Mil-Spec,Glock-18_Candy_Apple,160
Italy,Mil-Spec,MP7_Anodized_Navy,163
Italy,Mil-Spec,Sawed-Off_Full_Stop,153
Italy,Industrial,Dual_Berettas_Stained,162
Italy,Industrial,M4A1-S_Boreal_Forest,155
Italy,Industrial,Nova_Candy_Apple,165
Italy,Industrial,P2000_Granite_Marbleized,161
Italy,Industrial,UMP-45_Gunsmoke,157
Italy,Industrial,XM1014_CaliCamo,151
Italy,Consumer,AUG_Contractor,154
Italy,Consumer,FAMAS_Colony,156
Italy,Consumer,Nova_Sand_Dune,159
Italy,Consumer,PP-Bizon_Sand_Dashed,164
Italy,Consumer,Tec-9_Groundwater,152
Nuke,Restricted,P250-Nuclear-Threat,29
Nuke,Restricted,Tec-9-Nuclear-Threat,28
Nuke,Mil-Spec,M4A4-Radiation-Hazard,24
Nuke,Industrial,P90-Fallout-Warning,27
Nuke,Industrial,UMP-45-Fallout-Warning,25
Nuke,Industrial,XM1014-Fallout-Warning,23
Nuke,Consumer,MAG-7-Irradiated-Alert,31
Nuke,Consumer,PP-Bizon-Irradiated-Alert,26
Nuke,Consumer,Sawed-Off-Irradiated-Alert,30
Prisma,Covert,Five-SeveN_Angry_Mob,1071
Prisma,Covert,M4A4_The_Emperor,1072
Prisma,Classified,AUG_Momentum,1069
Prisma,Classified,R8_Revolver_Skull_Crusher,1068
Prisma,Classified,XM1014_Incinegator,1070
Prisma,Restricted,AWP_Atheris,1063
Prisma,Restricted,Desert_Eagle_Light_Rail,1065
Prisma,Restricted,MP5-SD_Gauss,1066
Prisma,Restricted,Tec-9_Bamboozle,1064
Prisma,Restricted,UMP-45_Moonrise,1067
Prisma,Mil-Spec,AK-47_Uncharted,1057
Prisma,Mil-Spec,FAMAS_Crypsis,1056
Prisma,Mil-Spec,Galil_AR_Akoben,1059
Prisma,Mil-Spec,MAC-10_Whitefish,1058
Prisma,Mil-Spec,MP7_Mischief,1060
Prisma,Mil-Spec,P250_Verdigris,1061
Prisma,Mil-Spec,P90_Off_World,1062
Prisma_2,Covert,Glock-18_Bullet_Queen,1267
Prisma_2,Covert,M4A1-S_Player_Two,1266
Prisma_2,Classified,AK-47_Phantom_Disruptor,1263
Prisma_2,Classified,MAC-10_Disco_Tech,1264
Prisma_2,Classified,MAG-7_Justice,1265
Prisma_2,Restricted,P2000_Acid_Etched,1258
Prisma_2,Restricted,Sawed-Off_Apocalypto,1259
Prisma_2,Restricted,SCAR-20_Enforcer,1260
Prisma_2,Restricted,SG_553_Darkwing,1261
Prisma_2,Restricted,SSG_08_Fever_Dream,1262
Prisma_2,Mil-Spec,AUG_Tom_Cat,1251
Prisma_2,Mil-Spec,AWP_Capillary,1252
Prisma_2,Mil-Spec,CZ75-Auto_Distressed,1253
Prisma_2,Mil-Spec,Desert_Eagle_Blue_Ply,1254
Prisma_2,Mil-Spec,MP5-SD_Desert_Strike,1255
Prisma_2,Mil-Spec,Negev_Prototype,1256
Prisma_2,Mil-Spec,R8_Revolver_Bone_Forged,1257
Revolution,Covert,AK-47_Head_Shot,1549
Revolution,Covert,M4A4_Temukau,1550
Revolution,Classified,AWP_Duality,1551
Revolution,Classified,P2000_Wicked_Sick,1547
Revolution,Classified,UMP-45_Wild_Child,1546
Revolution,Restricted,Glock-18_Umbral_Rabbit,1542
Revolution,Restricted,M4A1-S_Emphorosaur-S,1541
Revolution,Restricted,MAC-10_Sakkaku,1543
Revolution,Restricted,P90_Neoqueen,1545
Revolution,Restricted,R8_Revolver_Banana_Cannon,1544
Revolution,Mil-Spec,MAG-7_Insomnia,1534
Revolution,Mil-Spec,MP5-SD_Liquidation,1538
Revolution,Mil-Spec,MP9_Featherweight,1535
Revolution,Mil-Spec,P250_Re.built,1537
Revolution,Mil-Spec,SCAR-20_Fragments,1536
Revolution,Mil-Spec,SG_553_Cyberforce,1539
Revolution,Mil-Spec,Tec-9_Rebel,1540
Revolver,Covert,M4A4_Royal_Paladin,673
Revolver,Covert,R8_Revolver_Fade,672
Revolver,Classified,AK-47_Point_Disarray,686
Revolver,Classified,G3SG1_The_Executioner,688
Revolver,Classified,P90_Shapewood,687
Revolver,Restricted,Five-SeveN_Retrobution,682
Revolver,Restricted,Negev_Power_Loader,681
Revolver,Restricted,PP-Bizon_Fuel_Rod,680
Revolver,Restricted,SG_553_Tiger_Moth,683
Revolver,Restricted,Tec-9_Avalanche,684
Revolver,Restricted,XM1014_Teclu_Burner,685
Revolver,Mil-Spec,AUG_Ricochet,675
Revolver,Mil-Spec,Desert_Eagle_Corinthian,676
Revolver,Mil-Spec,P2000_Imperial,677
Revolver,Mil-Spec,R8_Revolver_Crimson_Web,674
Revolver,Mil-Spec,Sawed-Off_Yorick,678
Revolver,Mil-Spec,SCAR-20_Outbreak,679
