wear_values,ev,st_ev,AK-47 Ice Coaled,AK-47 Ice Coaled ST,Sawed-Off Kiss-Love,Sawed-Off Kiss-Love ST,P250 Visions,P250 Visions ST
0.0,117.01,351.56,46.08,122.31,25.66,59.92,20.11,52.56
0.01,117.01,351.56,44.15,116.75,24.43,57.04,19.23,50.05
0.02,117.01,351.56,42.23,111.19,23.2,54.15,18.35,47.53
0.03,117.01,351.56,40.3,105.64,21.97,51.27,17.46,45.02
0.04,39.58,95.0,38.38,100.08,20.74,48.38,16.58,42.51
0.05,39.58,95.0,36.45,94.52,19.51,45.5,15.7,40.0
0.06,39.58,95.0,34.52,88.96,18.28,42.61,14.82,37.48
0.07,39.58,95.0,32.6,83.4,17.05,39.73,13.94,34.97
0.08,39.58,95.0,30.67,77.84,15.82,36.84,13.06,32.46
0.09,39.58,95.0,28.75,72.28,14.59,33.96,12.18,29.95
0.1,39.58,95.0,26.82,66.72,13.36,31.07,11.3,27.43
0.11,39.58,95.0,24.9,61.16,12.13,28.19,10.41,24.92
0.12,39.58,95.0,22.97,55.61,10.9,25.3,9.53,22.41
0.13,39.58,95.0,21.05,50.05,9.67,22.42,8.65,19.89
0.14,36.09,83.78,19.12,44.49,8.44,19.53,7.77,17.38
0.15,36.09,83.78,17.2,38.93,7.21,16.65,6.89,14.87
0.16,27.09,58.44,16.87,38.1,7.1,16.24,6.81,14.54
0.17,27.09,58.44,16.54,37.26,7.0,15.84,6.73,14.2
0.18,27.09,58.44,16.21,36.43,6.89,15.43,6.64,13.87
0.19,27.09,58.44,15.88,35.6,6.79,15.02,6.56,13.53
0.2,27.09,58.44,15.55,34.76,6.68,14.62,6.48,13.2
0.21,27.09,58.44,15.22,33.93,6.58,14.21,6.4,12.87
0.22,27.09,58.44,14.89,33.1,6.47,13.8,6.32,12.53
0.23,27.09,58.44,14.56,32.26,6.37,13.39,6.24,12.2
0.24,27.09,58.44,14.23,31.43,6.26,12.99,6.15,11.86
0.25,27.09,58.44,13.9,30.6,6.16,12.58,6.07,11.53
0.26,27.09,58.44,13.57,29.76,6.05,12.17,5.99,11.2
0.27,27.09,58.44,13.24,28.93,5.95,11.77,5.91,10.86
0.28,27.09,58.44,12.91,28.09,5.84,11.36,5.83,10.53
0.29,27.09,58.44,12.58,27.26,5.74,10.95,5.75,10.2
0.3,24.53,47.98,12.25,26.43,5.63,10.55,5.66,9.86
0.31,24.53,47.98,11.92,25.59,5.53,10.14,5.58,9.53
0.32,24.53,47.98,11.59,24.76,5.42,9.73,5.5,9.19
0.33,24.53,47.98,11.26,23.93,5.32,9.32,5.42,8.86
0.34,24.53,47.98,10.93,23.09,5.21,8.92,5.34,8.53
0.35,24.53,47.98,10.6,22.26,5.11,8.51,5.26,8.19
0.36,24.53,47.98,10.27,21.43,5.0,8.1,5.17,7.86
0.37,24.53,47.98,9.94,20.59,4.9,7.7,5.09,7.52
0.38,24.53,47.98,9.61,19.76,4.79,7.29,5.01,7.19
0.39,24.53,47.98,9.64,19.73,4.65,7.16,4.87,7.28
0.4,24.53,47.98,9.67,19.71,4.51,7.03,4.72,7.38
0.41,24.53,47.98,9.7,19.68,4.37,6.9,4.58,7.47
0.42,24.53,47.98,9.73,19.66,4.22,6.77,4.43,7.56
0.43,24.53,47.98,9.76,19.63,4.08,6.64,4.29,7.65
0.44,24.53,47.98,9.79,19.61,3.94,6.51,4.14,7.75
0.45,24.53,47.98,9.82,19.58,3.8,6.38,4.0,7.84
0.46,24.53,47.98,9.71,19.38,3.78,6.36,3.97,7.75
0.47,24.53,47.98,9.6,19.18,3.77,6.34,3.93,7.66
0.48,24.53,47.98,9.49,18.98,3.75,6.32,3.9,7.57
0.49,24.53,47.98,9.38,18.78,3.73,6.3,3.86,7.48
0.5,24.53,47.98,9.27,18.58,3.71,6.27,3.83,7.39
0.51,25.33,55.58,9.15,18.38,3.7,6.25,3.79,7.3
0.52,25.33,55.58,9.04,18.18,3.68,6.23,3.76,7.21
0.53,25.33,55.58,8.93,17.98,3.66,6.21,3.72,7.12
0.54,25.33,55.58,8.82,17.78,3.65,6.19,3.69,7.03
0.55,25.33,55.58,8.71,17.58,3.63,6.17,3.65,6.94
0.56,25.33,55.58,8.6,17.38,3.61,6.15,3.62,6.85
0.57,25.33,55.58,8.49,17.18,3.59,6.13,3.58,6.76
0.58,25.33,55.58,8.38,16.98,3.58,6.11,3.55,6.68
0.59,25.33,55.58,8.27,16.78,3.56,6.08,3.51,6.59
0.6,25.33,55.58,8.16,16.58,3.54,6.06,3.48,6.5
0.61,25.33,55.58,8.04,16.38,3.53,6.04,3.44,6.41
0.62,20.58,42.91,7.93,16.19,3.51,6.02,3.41,6.32
0.63,20.58,42.91,7.82,15.99,3.49,6.0,3.37,6.23
0.64,20.58,42.91,7.71,15.79,3.48,5.98,3.34,6.14
0.65,20.58,42.91,7.6,15.59,3.46,5.96,3.3,6.05
0.66,20.58,42.91,7.49,15.39,3.44,5.94,3.27,5.96
0.67,20.58,42.91,7.38,15.19,3.42,5.92,3.23,5.87
0.68,20.58,42.91,7.27,14.99,3.41,5.89,3.2,5.78
0.69,20.58,42.91,7.16,14.79,3.39,5.87,3.16,5.69
0.7,20.58,42.91,7.05,14.59,3.37,5.85,3.13,5.6
0.71,20.58,42.91,6.94,14.39,3.36,5.83,,
0.72,20.58,42.91,6.82,14.19,3.34,5.81,,
0.73,20.58,42.91,6.71,13.99,3.32,5.79,,
0.74,20.58,42.91,6.6,13.79,3.3,5.77,,
0.75,20.58,42.91,6.49,13.59,3.29,5.75,,
0.76,20.14,44.87,6.38,13.39,3.27,5.73,,
0.77,20.14,44.87,6.27,13.19,3.25,5.71,,
0.78,20.14,44.87,,,3.24,5.68,,
0.79,20.14,44.87,,,3.22,5.66,,
0.8,20.14,44.87,,,3.2,5.64,,
0.81,20.14,44.87,,,3.18,5.62,,
0.82,20.14,44.87,,,3.17,5.6,,
0.83,20.14,44.87,,,3.15,5.58,,
0.84,20.14,44.87,,,3.13,5.56,,
0.85,20.14,44.87,,,3.12,5.54,,
0.86,20.14,44.87,,,3.1,5.52,,
0.87,20.14,44.87,,,3.08,5.49,,
0.88,20.14,44.87,,,3.07,5.47,,
0.89,20.14,44.87,,,3.05,5.45,,
0.9,18.54,41.59,,,3.03,5.43,,
0.91,18.54,41.59,,,3.01,5.41,,
0.92,18.54,41.59,,,3.0,5.39,,
0.93,18.54,41.59,,,2.98,5.37,,
0.94,18.54,41.59,,,2.96,5.35,,
0.95,18.54,41.59,,,2.95,5.33,,
0.96,18.54,41.59,,,2.93,5.3,,
0.97,18.54,41.59,,,2.91,5.28,,
0.98,18.54,41.59,,,2.89,5.26,,
0.99,18.54,41.59,,,2.88,5.24,,
1.0,18.54,41.59,,,2.86,5.22,,
