Coll_ID,Item_ID,Price,Float,Condition,Name,Halo,Site,Timestamp,Collection
1,1,1.22,0.56777024269104,BS,AUG_Stymphalian,Halo,,,Clutch
2,2,1.27,0.4557281136512756,BS,AUG_Stymphalian,Halo,,,Clutch
3,4,1.29,0.5371012687683105,BS,AUG_Stymphalian,Halo,,,Clutch
4,3,1.29,0.5599464774131774,BS,AUG_Stymphalian,Halo,,,Clutch
5,5,1.29,0.5871654152870178,BS,AUG_Stymphalian,Halo,,,Clutch
6,4,1.41,0.1951823085546493,FT,AUG_Stymphalian,Halo,,,Clutch
7,2,1.41,0.2124422043561935,FT,AUG_Stymphalian,Halo,,,Clutch
8,1,1.41,0.2234396487474441,FT,AUG_Stymphalian,Halo,,,Clutch
9,5,1.41,0.2240153402090072,FT,AUG_Stymphalian,Halo,,,Clutch
10,3,1.41,0.2549970149993896,FT,AUG_Stymphalian,Halo,,,Clutch
11,7,1.43,0.2239291965961456,FT,AUG_Stymphalian,Halo,,,Clutch
12,6,1.43,0.2631993293762207,FT,AUG_Stymphalian,Halo,,,Clutch
13,8,1.44,0.237849473953247,FT,AUG_Stymphalian,Halo,,,Clutch
14,15,1.45,0.1895083636045455,FT,AUG_Stymphalian,Halo,,,Clutch
15,9,1.45,0.1925284266471862,FT,AUG_Stymphalian,Halo,,,Clutch
16,10,1.45,0.2484488636255264,FT,AUG_Stymphalian,Halo,,,Clutch
17,12,1.45,0.2504241168498992,FT,AUG_Stymphalian,Halo,,,Clutch
18,16,1.51,0.2310692816972732,FT,AUG_Stymphalian,Halo,,,Clutch
19,17,1.52,0.2217614203691482,FT,AUG_Stymphalian,Halo,,,Clutch
20,21,1.55,0.2184909284114837,FT,AUG_Stymphalian,Halo,,,Clutch
21,20,1.55,0.222078651189804,FT,AUG_Stymphalian,Halo,,,Clutch
22,3,1.66,0.1798663437366485,FT,AWP_Mortis,Halo,,,Clutch
23,17,1.67,0.1693623661994934,FT,AWP_Mortis,Halo,,,Clutch
24,8,1.67,0.1717308163642883,FT,AWP_Mortis,Halo,,,Clutch
25,6,1.67,0.1881335973739624,FT,AWP_Mortis,Halo,,,Clutch
26,5,1.67,0.1911191195249557,FT,AWP_Mortis,Halo,,,Clutch
27,7,1.67,0.2049524635076522,FT,AWP_Mortis,Halo,,,Clutch
28,19,1.68,0.1864387094974517,FT,AWP_Mortis,Halo,,,Clutch
29,22,1.69,0.1890520453453063,FT,AUG_Stymphalian,Halo,,,Clutch
30,13,2.36,0.1672581881284713,FT,USP-S_Cortex,Halo,,,Clutch
31,9,2.36,0.1679745316505432,FT,USP-S_Cortex,Halo,,,Clutch
32,12,2.36,0.1682163774967193,FT,USP-S_Cortex,Halo,,,Clutch
33,15,2.36,0.168239414691925,FT,USP-S_Cortex,Halo,,,Clutch
34,10,2.36,0.1683495342731475,FT,USP-S_Cortex,Halo,,,Clutch
35,11,2.36,0.168373167514801,FT,USP-S_Cortex,Halo,,,Clutch
36,14,2.36,0.1693706512451171,FT,USP-S_Cortex,Halo,,,Clutch
37,2,2.8,0.1249111071228981,MW,AUG_Stymphalian,Halo,,,Clutch
38,6,2.8,0.1249473392963409,MW,AUG_Stymphalian,Halo,,,Clutch
39,5,2.8,0.131388708949089,MW,AUG_Stymphalian,Halo,,,Clutch
40,4,2.8,0.1316479742527008,MW,AUG_Stymphalian,Halo,,,Clutch
41,1,2.8,0.1353335529565811,MW,AUG_Stymphalian,Halo,,,Clutch
42,3,2.8,0.1475563496351242,MW,AUG_Stymphalian,Halo,,,Clutch
43,7,2.81,0.1439100056886672,MW,AUG_Stymphalian,Halo,,,Clutch
44,8,2.96,0.1049333810806274,MW,AUG_Stymphalian,Halo,,,Clutch
45,9,2.96,0.1068769767880439,MW,AUG_Stymphalian,Halo,,,Clutch
46,2,3.0,0.1372783333063125,MW,AWP_Mortis,Halo,,,Clutch
47,1,3.0,0.1436476558446884,MW,AWP_Mortis,Halo,,,Clutch
48,3,3.03,0.1289137303829193,MW,AWP_Mortis,Halo,,,Clutch
49,8,3.05,0.092422492802143,MW,AWP_Mortis,Halo,,,Clutch
50,6,3.05,0.1159439608454704,MW,AWP_Mortis,Halo,,,Clutch
51,4,3.05,0.1176163181662559,MW,AWP_Mortis,Halo,,,Clutch
52,7,3.05,0.1180504262447357,MW,AWP_Mortis,Halo,,,Clutch
53,11,3.05,0.121229700744152,MW,AWP_Mortis,Halo,,,Clutch
54,9,3.05,0.1255706846714019,MW,AWP_Mortis,Halo,,,Clutch
55,22,3.07,0.1123553067445755,MW,AWP_Mortis,Halo,,,Clutch
56,26,3.08,0.1209716126322746,MW,AWP_Mortis,Halo,,,Clutch
57,28,3.09,0.1188353821635246,MW,AWP_Mortis,Halo,,,Clutch
58,11,3.19,0.1054117754101753,MW,AUG_Stymphalian,Halo,,,Clutch
59,17,3.35,0.0898276716470718,MW,AUG_Stymphalian,Halo,,,Clutch
60,3,3.73,0.0917737632989883,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:25,Clutch
61,7,3.74,0.1009939461946487,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:25,Clutch
62,6,3.74,0.1019542440772056,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:25,Clutch
63,11,3.79,0.105601742863655,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:31,Clutch
64,13,3.8,0.1023657843470573,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:31,Clutch
65,24,3.87,0.0975881963968276,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:39,Clutch
66,29,4.12,0.0815554037690162,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:46,Clutch
67,30,4.12,0.0895624607801437,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:46,Clutch
68,33,4.14,0.0848191380500793,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:46,Clutch
69,55,4.14,0.0936737954616546,MW,USP-S_Cortex,,Halo,2024-03-22 20:38:01,Clutch
70,50,4.14,0.0959403365850448,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:55,Clutch
71,37,4.14,0.0993625968694686,MW,USP-S_Cortex,,Halo,2024-03-22 20:37:50,Clutch
72,1,4.15,0.0883961170911789,MW,USP-S_Cortex,,CS2GO,2024-03-22 20:38:22,Clutch
73,70,4.2,0.0836330503225326,MW,USP-S_Cortex,,Halo,2024-03-22 20:38:06,Clutch
74,68,4.2,0.0853669419884681,MW,USP-S_Cortex,,Halo,2024-03-22 20:38:06,Clutch
75,69,4.2,0.0856659635901451,MW,USP-S_Cortex,,Halo,2024-03-22 20:38:06,Clutch
76,71,4.2,0.0867027714848518,MW,USP-S_Cortex,,Halo,2024-03-22 20:38:06,Clutch
77,67,4.2,0.0878512784838676,MW,USP-S_Cortex,,Halo,2024-03-22 20:38:06,Clutch
78,5,6.26,0.059005282819271,FN,AWP_Mortis,Halo,,,Clutch
79,1,6.26,0.0653055384755134,FN,AWP_Mortis,Halo,,,Clutch
80,2,6.26,0.0672674253582954,FN,AWP_Mortis,Halo,,,Clutch
81,3,6.26,0.0681348964571952,FN,AWP_Mortis,Halo,,,Clutch
82,4,6.26,0.0694489926099777,FN,AWP_Mortis,Halo,,,Clutch
83,6,6.27,0.0605240240693092,FN,AWP_Mortis,Halo,,,Clutch
84,7,6.27,0.0636826306581497,FN,AWP_Mortis,Halo,,,Clutch
85,8,6.28,0.0574426539242267,FN,AWP_Mortis,Halo,,,Clutch
86,9,6.28,0.0677107498049736,FN,AWP_Mortis,Halo,,,Clutch
87,11,6.3,0.0581370592117309,FN,AWP_Mortis,Halo,,,Clutch
88,13,6.3,0.064683586359024,FN,AWP_Mortis,Halo,,,Clutch
89,10,6.3,0.0663332641124725,FN,AWP_Mortis,Halo,,,Clutch
90,14,6.31,0.0606265440583229,FN,AWP_Mortis,Halo,,,Clutch
91,20,6.32,0.0545169971883296,FN,AWP_Mortis,Halo,,,Clutch
92,15,6.32,0.0582555532455444,FN,AWP_Mortis,Halo,,,Clutch
93,23,6.33,0.0626914650201797,FN,AWP_Mortis,Halo,,,Clutch
94,1,6.73,0.0588953755795955,FN,AUG_Stymphalian,Halo,,,Clutch
95,2,6.75,0.047931607812643,FN,AUG_Stymphalian,Halo,,,Clutch
96,7,6.82,0.0544974692165851,FN,AUG_Stymphalian,Halo,,,Clutch
97,6,6.82,0.0547302775084972,FN,AUG_Stymphalian,Halo,,,Clutch
98,9,7.02,0.0523108392953872,FN,AUG_Stymphalian,Halo,,,Clutch
99,10,7.02,0.0555094107985496,FN,AUG_Stymphalian,Halo,,,Clutch
100,12,7.72,0.0550140403211116,FN,AUG_Stymphalian,Halo,,,Clutch
101,14,8.14,0.0424213372170925,FN,AUG_Stymphalian,Halo,,,Clutch
102,12,10.21,0.0337283127009868,FN,USP-S_Cortex,Halo,,,Clutch
103,11,10.21,0.0413753539323806,FN,USP-S_Cortex,Halo,,,Clutch
104,5,10.21,0.0498913750052452,FN,USP-S_Cortex,Halo,,,Clutch
105,14,10.21,0.0518722012639045,FN,USP-S_Cortex,Halo,,,Clutch
106,16,10.23,0.0476159416139125,FN,USP-S_Cortex,Halo,,,Clutch
107,17,10.35,0.0284510385245084,FN,USP-S_Cortex,Halo,,,Clutch
108,20,10.52,0.0287928711622953,FN,USP-S_Cortex,Halo,,,Clutch
109,19,10.52,0.0438968129456043,FN,USP-S_Cortex,Halo,,,Clutch
110,22,11.2,0.0493440851569175,FN,USP-S_Cortex,Halo,,,Clutch
111,25,11.22,0.0370879806578159,FN,USP-S_Cortex,Halo,,,Clutch
112,26,11.22,0.037153024226427,FN,USP-S_Cortex,Halo,,,Clutch
113,27,11.49,0.0191540252417325,FN,USP-S_Cortex,Halo,,,Clutch
114,29,11.93,0.0307986605912446,FN,USP-S_Cortex,Halo,,,Clutch
115,18,13.89,0.0408596396446228,FN,AUG_Stymphalian,Halo,,,Clutch
116,19,14.03,0.0244358386844396,FN,AUG_Stymphalian,Halo,,,Clutch
117,20,16.13,0.0076922597363591,FN,AUG_Stymphalian,Halo,,,Clutch
118,21,16.13,0.008189677260816,FN,AUG_Stymphalian,Halo,,,Clutch
119,22,18.94,0.0005556346732191,FN,AUG_Stymphalian,Halo,,,Clutch
