Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS
P90_Neoqueen,Revolution,Restricted,0.60,0.00,2024-04-10 23:21:21,USD,1.76,0.79,0.34,0.37,0.43
AWP_Asiimov,Revolution,Restricted,0.18,1.00,2024-04-10 23:29:29,USD,117.49,88.22,68,,
Galil-AR-Connexion,Fracture,Restricted,0.00,0.80,2024-04-18 11:19:44,USD,1.12,0.78,0.36,0.34,0.3
MAC-10-Allure,Fracture,Restricted,0.00,1.00,2024-04-18 11:23:15,USD,1.2,0.63,0.37,0.31,0.28
MAG-7-Monster-Call,Fracture,Restricted,0.00,1.00,2024-04-18 11:27:03,USD,1.5,0.67,0.36,0.31,0.28
MP5-SD-Kitbash,Fracture,Restricted,0.00,0.80,2024-04-18 11:30:02,USD,1.32,0.66,0.37,0.37,0.27
Tec-9-Brother,Fracture,Restricted,0.00,1.00,2024-04-18 11:32:59,USD,1.38,0.63,0.36,0.3,0.27
P250-Nuclear-Threat,Nuke,Restricted,0.06,0.80,2024-04-18 00:45:30,USD,581.47,76.76,26.63,,19.71
Tec-9-Nuclear-Threat,Nuke,Restricted,0.06,0.80,2024-04-18 00:47:14,USD,756.2,102.78,38.78,35.1,29.55
Glock-18_Rameses_Reach,Anubis,Restricted,5,Factory New,2024-04-18 10:57:48,USD,,,,,
P90_ScaraB_Rush,Anubis,Restricted,0.00,1.00,2024-04-18 11:04:53,USD,13.93,10.3,5.09,5.06,5.21
